GoodID,GoodName,Description,Country,Articul,RetailPrice,WholesalePrice,RetailPriceWithDiscount,MinQuantityForOrder,Category,WarehouseQuantity,Display,TheSize,Color,Material,FashionName,Sex,ShortName,GoodTypeFull,ProducerCollectionFull,Season,Barcode,Pack,PackSize,PowerSupply,CountUnitsPerBox,Age,Measure,MeasureUnit,Closeout,RetailPricePerUnit,WholesalePricePerUnit,EqualSalePrice,EqualWholesalePrice,EqualCurrencyName,PrimeCost,SuppLierCode,Analogs,WholesaleCount,MesUnit,PriceDiscountPercent,PCName,ModelGoodID,GoodTypeName,SynchronizationSection,GuaranteePeriod,GuaranteeMesUnit,SynchronizationSectionFull,MinWarehouseQuantity,WarehouseQuantityForPartner
36792,Одежда Юбка ЮБКА MARELLA  ITALY SS20 РОЗ 38(р) RICORSO РОЗ RICORSO 38(р),ЮБКА MARELLA  ITALY SS20 РОЗ 38(р) RICORSO,НЕТ ИНФОРМАЦИИ,RICORSO,15500,0,15500,0,-1,1,1,38,РОЗ,,Одежда Юбка ЮБКА MARELLA  ITALY SS20 РОЗ 38(р) RICORSO РОЗ RICORSO,0,,"Одежда,Юбка",НЕТ ИНФОРМАЦИИ,,2918691384737,,,,,,0,,0,0,0,0,0,,0,,,0,,0,НЕТ ИНФОРМАЦИИ,,Юбка,,,0,,0,"38=1,000"
36760,Одежда Штаны ШТАНЫ MARELLA  ITALY СЕР 50(р) ENEA СЕР ENEA 50(р),ШТАНЫ MARELLA  ITALY СЕР 50(р) ENEA,НЕТ ИНФОРМАЦИИ,ENEA,5100,0,5100,0,-1,1,1,50,СЕР,,Одежда Штаны ШТАНЫ MARELLA  ITALY СЕР 50(р) ENEA СЕР ENEA,0,,"Одежда,Штаны",НЕТ ИНФОРМАЦИИ,,2920710729726,,,,,,0,,0,0,0,0,0,,0,,,0,,0,НЕТ ИНФОРМАЦИИ,,Штаны,,,0,,0,"38=1,000"
36636,Одежда Шорты ШОРТЫ MARELLA  ITALY SS20 ЧЕРН 38(р) DEBACLE ЧЕРН DEBACLE 38(р),ШОРТЫ MARELLA  ITALY SS20 ЧЕРН 38(р) DEBACLE,НЕТ ИНФОРМАЦИИ,DEBACLE,13000,0,13000,0,-1,1,1,38,ЧЕРН,,Одежда Шорты ШОРТЫ MARELLA  ITALY SS20 ЧЕРН 38(р) DEBACLE ЧЕРН DEBACLE,0,,"Одежда,Шорты",НЕТ ИНФОРМАЦИИ,,2918691384553,,,,,,0,,0,0,0,0,0,,0,,,0,,0,НЕТ ИНФОРМАЦИИ,,Шорты,,,0,,0,"38=1,000"
36616,Одежда Шлёпки ШЛЕПКИ MARELLA  ITALY FW18/19 БЕЖ S(р) FELTRE БЕЖ FELTRE S(р),ШЛЕПКИ MARELLA  ITALY FW18/19 БЕЖ S(р) FELTRE,НЕТ ИНФОРМАЦИИ,FELTRE,23600,0,23600,0,-1,1,1,S,БЕЖ,,Одежда Шлёпки ШЛЕПКИ MARELLA  ITALY FW18/19 БЕЖ S(р) FELTRE БЕЖ FELTRE,5,,"Одежда,Шлёпки",НЕТ ИНФОРМАЦИИ,,2975601084989,,,,,,0,,0,0,0,0,0,,0,,,0,,0,НЕТ ИНФОРМАЦИИ,,Шлёпки,,,0,,0,"38=1,000"
36617,Одежда Шлёпки ШЛЕПКИ MARELLA  ITALY FW18/19 БЕЖ XL(р) FELTRE БЕЖ FELTRE XL(р),ШЛЕПКИ MARELLA  ITALY FW18/19 БЕЖ XL(р) FELTRE,НЕТ ИНФОРМАЦИИ,FELTRE,23600,0,23600,0,-1,1,1,XL,БЕЖ,,Одежда Шлёпки ШЛЕПКИ MARELLA  ITALY FW18/19 БЕЖ XL(р) FELTRE БЕЖ FELTRE,5,,"Одежда,Шлёпки",НЕТ ИНФОРМАЦИИ,,2975601084996,,,,,,0,,0,0,0,0,0,,0,,,0,,0,НЕТ ИНФОРМАЦИИ,,Шлёпки,,,0,,0,"38=1,000"
36618,Одежда Шлёпки ШЛЕПКИ MARELLA  ITALY FW18/19 ГОРЧ 40(р) BASCO ГОРЧ BASCO 40(р),ШЛЕПКИ MARELLA  ITALY FW18/19 ГОРЧ 40(р) BASCO,НЕТ ИНФОРМАЦИИ,BASCO,6800,0,6800,0,-1,1,1,40,ГОРЧ,,Одежда Шлёпки ШЛЕПКИ MARELLA  ITALY FW18/19 ГОРЧ 40(р) BASCO ГОРЧ BASCO,0,,"Одежда,Шлёпки",НЕТ ИНФОРМАЦИИ,,2975601083968,,,,,,0,,0,0,0,0,0,,0,,,0,,0,НЕТ ИНФОРМАЦИИ,,Шлёпки,,,0,,0,"38=1,000"
36619,Одежда Шлёпки ШЛЕПКИ MARELLA  ITALY FW18/19 ГОРЧ 44(р) BASCO ГОРЧ BASCO 44(р),ШЛЕПКИ MARELLA  ITALY FW18/19 ГОРЧ 44(р) BASCO,НЕТ ИНФОРМАЦИИ,BASCO,6800,0,6800,0,-1,1,1,44,ГОРЧ,,Одежда Шлёпки ШЛЕПКИ MARELLA  ITALY FW18/19 ГОРЧ 44(р) BASCO ГОРЧ BASCO,0,,"Одежда,Шлёпки",НЕТ ИНФОРМАЦИИ,,2975601083982,,,,,,0,,0,0,0,0,0,,0,,,0,,0,НЕТ ИНФОРМАЦИИ,,Шлёпки,,,0,,0,"38=1,000"
36624,Одежда Шлёпки ШЛЕПКИ MARELLA  ITALY FW18/19 СЕР M(р) FELTRE СЕР FELTRE M(р),ШЛЕПКИ MARELLA  ITALY FW18/19 СЕР M(р) FELTRE,НЕТ ИНФОРМАЦИИ,FELTRE,23600,0,23600,0,-1,1,1,M,СЕР,,Одежда Шлёпки ШЛЕПКИ MARELLA  ITALY FW18/19 СЕР M(р) FELTRE СЕР FELTRE,5,,"Одежда,Шлёпки",НЕТ ИНФОРМАЦИИ,,2975601084934,,,,,,0,,0,0,0,0,0,,0,,,0,,0,НЕТ ИНФОРМАЦИИ,,Шлёпки,,,0,,0,"38=1,000"
36627,Одежда Шлёпки ШЛЕПКИ MARELLA  ITALY FW18/19 СЕР XL(р) FELTRE СЕР FELTRE XL(р),ШЛЕПКИ MARELLA  ITALY FW18/19 СЕР XL(р) FELTRE,НЕТ ИНФОРМАЦИИ,FELTRE,23600,0,23600,0,-1,1,1,XL,СЕР,,Одежда Шлёпки ШЛЕПКИ MARELLA  ITALY FW18/19 СЕР XL(р) FELTRE СЕР FELTRE,5,,"Одежда,Шлёпки",НЕТ ИНФОРМАЦИИ,,2975601084958,,,,,,0,,0,0,0,0,0,,0,,,0,,0,НЕТ ИНФОРМАЦИИ,,Шлёпки,,,0,,0,"38=1,000"
36516,Одежда Футболка ФУТБОЛКА MARELLA  ITALY FW19/20 БЕЛ M(р) NOEMI БЕЛ NOEMI M(р),ФУТБОЛКА MARELLA  ITALY FW19/20 БЕЛ M(р) NOEMI,НЕТ ИНФОРМАЦИИ,NOEMI,7500,0,7500,0,-1,1,1,M,БЕЛ,,Одежда Футболка ФУТБОЛКА MARELLA  ITALY FW19/20 БЕЛ M(р) NOEMI БЕЛ NOEMI,0,,"Одежда,Футболка",НЕТ ИНФОРМАЦИИ,,2918691271297,,,,,,0,,0,0,0,0,0,,0,,,0,,0,НЕТ ИНФОРМАЦИИ,,Футболка,,,0,,0,"38=1,000"
